"","species_code","species_region","dbh_range","benefit_value","benefit","unit"
"1","ACME","CaNCCoJBK",3.81,2.8,"co2 avoided","kgs"
"2","ACPA","CaNCCoJBK",3.81,0.6,"co2 avoided","kgs"
"3","CICA","CaNCCoJBK",3.81,0.9,"co2 avoided","kgs"
"4","EUGL","CaNCCoJBK",3.81,0.9,"co2 avoided","kgs"
"5","FRVE","CaNCCoJBK",3.81,0.9,"co2 avoided","kgs"
"6","GIBI","CaNCCoJBK",3.81,2.8,"co2 avoided","kgs"
"7","LIST","CaNCCoJBK",3.81,0.8,"co2 avoided","kgs"
"8","LITU","CaNCCoJBK",3.81,1.1,"co2 avoided","kgs"
"9","MAGR","CaNCCoJBK",3.81,0.6,"co2 avoided","kgs"
"10","PICH","CaNCCoJBK",3.81,2.5,"co2 avoided","kgs"
"11","PIRA","CaNCCoJBK",3.81,1.5,"co2 avoided","kgs"
"12","PIUN","CaNCCoJBK",3.81,1,"co2 avoided","kgs"
"13","PLAC","CaNCCoJBK",3.81,2.2,"co2 avoided","kgs"
"14","PRCE","CaNCCoJBK",3.81,1.6,"co2 avoided","kgs"
"15","PYCA","CaNCCoJBK",3.81,4,"co2 avoided","kgs"
"16","PYKA","CaNCCoJBK",3.81,4.5,"co2 avoided","kgs"
"17","QUAG","CaNCCoJBK",3.81,1.7,"co2 avoided","kgs"
"18","ROPS","CaNCCoJBK",3.81,2.5,"co2 avoided","kgs"
"19","SESE","CaNCCoJBK",3.81,2.5,"co2 avoided","kgs"
"20","ULAM","CaNCCoJBK",3.81,1.5,"co2 avoided","kgs"
"21","ULPA","CaNCCoJBK",3.81,1.6,"co2 avoided","kgs"
"22","PIBR2","CaNCCoJBK",3.81,1.6,"co2 avoided","kgs"
"23","PICO5","CaNCCoJBK",3.81,0.5,"co2 avoided","kgs"
"24","PHCA","CaNCCoJBK",3.81,2.5,"co2 avoided","kgs"
"25","PHDA4","CaNCCoJBK",3.81,0.9,"co2 avoided","kgs"
"26","WARO","CaNCCoJBK",3.81,0.2,"co2 avoided","kgs"
"27","BDL OTHER","CaNCCoJBK",3.81,1.5,"co2 avoided","kgs"
"28","BDM OTHER","CaNCCoJBK",3.81,0.9,"co2 avoided","kgs"
"29","BDS OTHER","CaNCCoJBK",3.81,1.6,"co2 avoided","kgs"
"30","CEL OTHER","CaNCCoJBK",3.81,1.5,"co2 avoided","kgs"
"31","CEM OTHER","CaNCCoJBK",3.81,1.6,"co2 avoided","kgs"
"32","CES OTHER","CaNCCoJBK",3.81,0.5,"co2 avoided","kgs"
"33","BEL OTHER","CaNCCoJBK",3.81,1.7,"co2 avoided","kgs"
"34","BEM OTHER","CaNCCoJBK",3.81,0.9,"co2 avoided","kgs"
"35","BES OTHER","CaNCCoJBK",3.81,4.5,"co2 avoided","kgs"
"36","PEL OTHER","CaNCCoJBK",3.81,2.5,"co2 avoided","kgs"
"37","PEM OTHER","CaNCCoJBK",3.81,0.9,"co2 avoided","kgs"
"38","PES OTHER","CaNCCoJBK",3.81,0.2,"co2 avoided","kgs"
"39","ACME","CaNCCoJBK",3.81,2.3,"co2 sequestered","kgs"
"40","ACPA","CaNCCoJBK",3.81,3.1,"co2 sequestered","kgs"
"41","CICA","CaNCCoJBK",3.81,1.4,"co2 sequestered","kgs"
"42","EUGL","CaNCCoJBK",3.81,5.2,"co2 sequestered","kgs"
"43","FRVE","CaNCCoJBK",3.81,2.1,"co2 sequestered","kgs"
"44","GIBI","CaNCCoJBK",3.81,1,"co2 sequestered","kgs"
"45","LIST","CaNCCoJBK",3.81,1.9,"co2 sequestered","kgs"
"46","LITU","CaNCCoJBK",3.81,1.4,"co2 sequestered","kgs"
"47","MAGR","CaNCCoJBK",3.81,0.7,"co2 sequestered","kgs"
"48","PICH","CaNCCoJBK",3.81,0.8,"co2 sequestered","kgs"
"49","PIRA","CaNCCoJBK",3.81,1.4,"co2 sequestered","kgs"
"50","PIUN","CaNCCoJBK",3.81,4,"co2 sequestered","kgs"
"51","PLAC","CaNCCoJBK",3.81,1.5,"co2 sequestered","kgs"
"52","PRCE","CaNCCoJBK",3.81,2.7,"co2 sequestered","kgs"
"53","PYCA","CaNCCoJBK",3.81,1.1,"co2 sequestered","kgs"
"54","PYKA","CaNCCoJBK",3.81,1.2,"co2 sequestered","kgs"
"55","QUAG","CaNCCoJBK",3.81,5.2,"co2 sequestered","kgs"
"56","ROPS","CaNCCoJBK",3.81,5.3,"co2 sequestered","kgs"
"57","SESE","CaNCCoJBK",3.81,1.2,"co2 sequestered","kgs"
"58","ULAM","CaNCCoJBK",3.81,2.4,"co2 sequestered","kgs"
"59","ULPA","CaNCCoJBK",3.81,2.2,"co2 sequestered","kgs"
"60","PIBR2","CaNCCoJBK",3.81,3.6,"co2 sequestered","kgs"
"61","PICO5","CaNCCoJBK",3.81,1,"co2 sequestered","kgs"
"62","PHCA","CaNCCoJBK",3.81,7.9,"co2 sequestered","kgs"
"63","PHDA4","CaNCCoJBK",3.81,5.7,"co2 sequestered","kgs"
"64","WARO","CaNCCoJBK",3.81,14.2,"co2 sequestered","kgs"
"65","BDL OTHER","CaNCCoJBK",3.81,2.4,"co2 sequestered","kgs"
"66","BDM OTHER","CaNCCoJBK",3.81,2.1,"co2 sequestered","kgs"
"67","BDS OTHER","CaNCCoJBK",3.81,2.7,"co2 sequestered","kgs"
"68","CEL OTHER","CaNCCoJBK",3.81,1.4,"co2 sequestered","kgs"
"69","CEM OTHER","CaNCCoJBK",3.81,3.6,"co2 sequestered","kgs"
"70","CES OTHER","CaNCCoJBK",3.81,1,"co2 sequestered","kgs"
"71","BEL OTHER","CaNCCoJBK",3.81,5.2,"co2 sequestered","kgs"
"72","BEM OTHER","CaNCCoJBK",3.81,1.4,"co2 sequestered","kgs"
"73","BES OTHER","CaNCCoJBK",3.81,1.2,"co2 sequestered","kgs"
"74","PEL OTHER","CaNCCoJBK",3.81,7.9,"co2 sequestered","kgs"
"75","PEM OTHER","CaNCCoJBK",3.81,5.7,"co2 sequestered","kgs"
"76","PES OTHER","CaNCCoJBK",3.81,14.2,"co2 sequestered","kgs"
"77","ACME","CaNCCoJBK",3.81,5.2,"co2 storage","kgs"
"78","ACPA","CaNCCoJBK",3.81,7.6,"co2 storage","kgs"
"79","CICA","CaNCCoJBK",3.81,3.5,"co2 storage","kgs"
"80","EUGL","CaNCCoJBK",3.81,3.2,"co2 storage","kgs"
"81","FRVE","CaNCCoJBK",3.81,2.8,"co2 storage","kgs"
"82","GIBI","CaNCCoJBK",3.81,2.4,"co2 storage","kgs"
"83","LIST","CaNCCoJBK",3.81,1.8,"co2 storage","kgs"
"84","LITU","CaNCCoJBK",3.81,1.3,"co2 storage","kgs"
"85","MAGR","CaNCCoJBK",3.81,1.7,"co2 storage","kgs"
"86","PICH","CaNCCoJBK",3.81,1.4,"co2 storage","kgs"
"87","PIRA","CaNCCoJBK",3.81,0.8,"co2 storage","kgs"
"88","PIUN","CaNCCoJBK",3.81,3.1,"co2 storage","kgs"
"89","PLAC","CaNCCoJBK",3.81,1.9,"co2 storage","kgs"
"90","PRCE","CaNCCoJBK",3.81,4.5,"co2 storage","kgs"
"91","PYCA","CaNCCoJBK",3.81,2.1,"co2 storage","kgs"
"92","PYKA","CaNCCoJBK",3.81,1.6,"co2 storage","kgs"
"93","QUAG","CaNCCoJBK",3.81,6.3,"co2 storage","kgs"
"94","ROPS","CaNCCoJBK",3.81,8.4,"co2 storage","kgs"
"95","SESE","CaNCCoJBK",3.81,1,"co2 storage","kgs"
"96","ULAM","CaNCCoJBK",3.81,2.6,"co2 storage","kgs"
"97","ULPA","CaNCCoJBK",3.81,2.6,"co2 storage","kgs"
"98","PIBR2","CaNCCoJBK",3.81,1.3,"co2 storage","kgs"
"99","PICO5","CaNCCoJBK",3.81,1.1,"co2 storage","kgs"
"100","PHCA","CaNCCoJBK",3.81,43.9,"co2 storage","kgs"
"101","PHDA4","CaNCCoJBK",3.81,38.1,"co2 storage","kgs"
"102","WARO","CaNCCoJBK",3.81,78.6,"co2 storage","kgs"
"103","BDL OTHER","CaNCCoJBK",3.81,2.6,"co2 storage","kgs"
"104","BDM OTHER","CaNCCoJBK",3.81,2.8,"co2 storage","kgs"
"105","BDS OTHER","CaNCCoJBK",3.81,4.5,"co2 storage","kgs"
"106","CEL OTHER","CaNCCoJBK",3.81,0.8,"co2 storage","kgs"
"107","CEM OTHER","CaNCCoJBK",3.81,1.3,"co2 storage","kgs"
"108","CES OTHER","CaNCCoJBK",3.81,1.1,"co2 storage","kgs"
"109","BEL OTHER","CaNCCoJBK",3.81,6.3,"co2 storage","kgs"
"110","BEM OTHER","CaNCCoJBK",3.81,3.5,"co2 storage","kgs"
"111","BES OTHER","CaNCCoJBK",3.81,1.6,"co2 storage","kgs"
"112","PEL OTHER","CaNCCoJBK",3.81,43.9,"co2 storage","kgs"
"113","PEM OTHER","CaNCCoJBK",3.81,38.1,"co2 storage","kgs"
"114","PES OTHER","CaNCCoJBK",3.81,78.6,"co2 storage","kgs"
"115","ACME","CaNCCoJBK",3.81,7.3,"electricity","kwh"
"116","ACPA","CaNCCoJBK",3.81,1.7,"electricity","kwh"
"117","CICA","CaNCCoJBK",3.81,2.2,"electricity","kwh"
"118","EUGL","CaNCCoJBK",3.81,2.4,"electricity","kwh"
"119","FRVE","CaNCCoJBK",3.81,2.4,"electricity","kwh"
"120","GIBI","CaNCCoJBK",3.81,7.2,"electricity","kwh"
"121","LIST","CaNCCoJBK",3.81,2.1,"electricity","kwh"
"122","LITU","CaNCCoJBK",3.81,2.8,"electricity","kwh"
"123","MAGR","CaNCCoJBK",3.81,1.7,"electricity","kwh"
"124","PICH","CaNCCoJBK",3.81,6.6,"electricity","kwh"
"125","PIRA","CaNCCoJBK",3.81,3.9,"electricity","kwh"
"126","PIUN","CaNCCoJBK",3.81,2.6,"electricity","kwh"
"127","PLAC","CaNCCoJBK",3.81,5.7,"electricity","kwh"
"128","PRCE","CaNCCoJBK",3.81,4.2,"electricity","kwh"
"129","PYCA","CaNCCoJBK",3.81,10.4,"electricity","kwh"
"130","PYKA","CaNCCoJBK",3.81,11.9,"electricity","kwh"
"131","QUAG","CaNCCoJBK",3.81,4.3,"electricity","kwh"
"132","ROPS","CaNCCoJBK",3.81,6.5,"electricity","kwh"
"133","SESE","CaNCCoJBK",3.81,6.5,"electricity","kwh"
"134","ULAM","CaNCCoJBK",3.81,4,"electricity","kwh"
"135","ULPA","CaNCCoJBK",3.81,4.1,"electricity","kwh"
"136","PIBR2","CaNCCoJBK",3.81,4.3,"electricity","kwh"
"137","PICO5","CaNCCoJBK",3.81,1.4,"electricity","kwh"
"138","PHCA","CaNCCoJBK",3.81,6.6,"electricity","kwh"
"139","PHDA4","CaNCCoJBK",3.81,2.3,"electricity","kwh"
"140","WARO","CaNCCoJBK",3.81,0.6,"electricity","kwh"
"141","BDL OTHER","CaNCCoJBK",3.81,4,"electricity","kwh"
"142","BDM OTHER","CaNCCoJBK",3.81,2.4,"electricity","kwh"
"143","BDS OTHER","CaNCCoJBK",3.81,4.2,"electricity","kwh"
"144","CEL OTHER","CaNCCoJBK",3.81,3.9,"electricity","kwh"
"145","CEM OTHER","CaNCCoJBK",3.81,4.3,"electricity","kwh"
"146","CES OTHER","CaNCCoJBK",3.81,1.4,"electricity","kwh"
"147","BEL OTHER","CaNCCoJBK",3.81,4.3,"electricity","kwh"
"148","BEM OTHER","CaNCCoJBK",3.81,2.2,"electricity","kwh"
"149","BES OTHER","CaNCCoJBK",3.81,11.9,"electricity","kwh"
"150","PEL OTHER","CaNCCoJBK",3.81,6.6,"electricity","kwh"
"151","PEM OTHER","CaNCCoJBK",3.81,2.3,"electricity","kwh"
"152","PES OTHER","CaNCCoJBK",3.81,0.6,"electricity","kwh"
"153","ACME","CaNCCoJBK",3.81,0.29,"hydro interception","m^3"
"154","ACPA","CaNCCoJBK",3.81,0.06,"hydro interception","m^3"
"155","CICA","CaNCCoJBK",3.81,0.09,"hydro interception","m^3"
"156","EUGL","CaNCCoJBK",3.81,0.14,"hydro interception","m^3"
"157","FRVE","CaNCCoJBK",3.81,0.07,"hydro interception","m^3"
"158","GIBI","CaNCCoJBK",3.81,0.16,"hydro interception","m^3"
"159","LIST","CaNCCoJBK",3.81,0.09,"hydro interception","m^3"
"160","LITU","CaNCCoJBK",3.81,0.17,"hydro interception","m^3"
"161","MAGR","CaNCCoJBK",3.81,0.1,"hydro interception","m^3"
"162","PICH","CaNCCoJBK",3.81,0.17,"hydro interception","m^3"
"163","PIRA","CaNCCoJBK",3.81,0.31,"hydro interception","m^3"
"164","PIUN","CaNCCoJBK",3.81,0.15,"hydro interception","m^3"
"165","PLAC","CaNCCoJBK",3.81,0.15,"hydro interception","m^3"
"166","PRCE","CaNCCoJBK",3.81,0.13,"hydro interception","m^3"
"167","PYCA","CaNCCoJBK",3.81,0.18,"hydro interception","m^3"
"168","PYKA","CaNCCoJBK",3.81,0.39,"hydro interception","m^3"
"169","QUAG","CaNCCoJBK",3.81,0.19,"hydro interception","m^3"
"170","ROPS","CaNCCoJBK",3.81,0.23,"hydro interception","m^3"
"171","SESE","CaNCCoJBK",3.81,0.41,"hydro interception","m^3"
"172","ULAM","CaNCCoJBK",3.81,0.18,"hydro interception","m^3"
"173","ULPA","CaNCCoJBK",3.81,0.15,"hydro interception","m^3"
"174","PIBR2","CaNCCoJBK",3.81,0.15,"hydro interception","m^3"
"175","PICO5","CaNCCoJBK",3.81,0.08,"hydro interception","m^3"
"176","PHCA","CaNCCoJBK",3.81,0.34,"hydro interception","m^3"
"177","PHDA4","CaNCCoJBK",3.81,0.12,"hydro interception","m^3"
"178","WARO","CaNCCoJBK",3.81,0.03,"hydro interception","m^3"
"179","BDL OTHER","CaNCCoJBK",3.81,0.18,"hydro interception","m^3"
"180","BDM OTHER","CaNCCoJBK",3.81,0.07,"hydro interception","m^3"
"181","BDS OTHER","CaNCCoJBK",3.81,0.13,"hydro interception","m^3"
"182","CEL OTHER","CaNCCoJBK",3.81,0.31,"hydro interception","m^3"
"183","CEM OTHER","CaNCCoJBK",3.81,0.15,"hydro interception","m^3"
"184","CES OTHER","CaNCCoJBK",3.81,0.08,"hydro interception","m^3"
"185","BEL OTHER","CaNCCoJBK",3.81,0.19,"hydro interception","m^3"
"186","BEM OTHER","CaNCCoJBK",3.81,0.09,"hydro interception","m^3"
"187","BES OTHER","CaNCCoJBK",3.81,0.39,"hydro interception","m^3"
"188","PEL OTHER","CaNCCoJBK",3.81,0.34,"hydro interception","m^3"
"189","PEM OTHER","CaNCCoJBK",3.81,0.12,"hydro interception","m^3"
"190","PES OTHER","CaNCCoJBK",3.81,0.03,"hydro interception","m^3"
"191","ACME","CaNCCoJBK",3.81,25.1,"natural gas","kbtus"
"192","ACPA","CaNCCoJBK",3.81,5.7,"natural gas","kbtus"
"193","CICA","CaNCCoJBK",3.81,4.5,"natural gas","kbtus"
"194","EUGL","CaNCCoJBK",3.81,-1.5,"natural gas","kbtus"
"195","FRVE","CaNCCoJBK",3.81,5.5,"natural gas","kbtus"
"196","GIBI","CaNCCoJBK",3.81,29.3,"natural gas","kbtus"
"197","LIST","CaNCCoJBK",3.81,6.6,"natural gas","kbtus"
"198","LITU","CaNCCoJBK",3.81,5.9,"natural gas","kbtus"
"199","MAGR","CaNCCoJBK",3.81,5.4,"natural gas","kbtus"
"200","PICH","CaNCCoJBK",3.81,18.7,"natural gas","kbtus"
"201","PIRA","CaNCCoJBK",3.81,14.9,"natural gas","kbtus"
"202","PIUN","CaNCCoJBK",3.81,6.9,"natural gas","kbtus"
"203","PLAC","CaNCCoJBK",3.81,18.4,"natural gas","kbtus"
"204","PRCE","CaNCCoJBK",3.81,11.9,"natural gas","kbtus"
"205","PYCA","CaNCCoJBK",3.81,35.8,"natural gas","kbtus"
"206","PYKA","CaNCCoJBK",3.81,38.6,"natural gas","kbtus"
"207","QUAG","CaNCCoJBK",3.81,15.2,"natural gas","kbtus"
"208","ROPS","CaNCCoJBK",3.81,19.9,"natural gas","kbtus"
"209","SESE","CaNCCoJBK",3.81,20.9,"natural gas","kbtus"
"210","ULAM","CaNCCoJBK",3.81,5.4,"natural gas","kbtus"
"211","ULPA","CaNCCoJBK",3.81,4,"natural gas","kbtus"
"212","PIBR2","CaNCCoJBK",3.81,12,"natural gas","kbtus"
"213","PICO5","CaNCCoJBK",3.81,3.4,"natural gas","kbtus"
"214","PHCA","CaNCCoJBK",3.81,25.8,"natural gas","kbtus"
"215","PHDA4","CaNCCoJBK",3.81,9.7,"natural gas","kbtus"
"216","WARO","CaNCCoJBK",3.81,1.8,"natural gas","kbtus"
"217","BDL OTHER","CaNCCoJBK",3.81,5.4,"natural gas","kbtus"
"218","BDM OTHER","CaNCCoJBK",3.81,5.5,"natural gas","kbtus"
"219","BDS OTHER","CaNCCoJBK",3.81,11.9,"natural gas","kbtus"
"220","CEL OTHER","CaNCCoJBK",3.81,14.9,"natural gas","kbtus"
"221","CEM OTHER","CaNCCoJBK",3.81,12,"natural gas","kbtus"
"222","CES OTHER","CaNCCoJBK",3.81,3.4,"natural gas","kbtus"
"223","BEL OTHER","CaNCCoJBK",3.81,15.2,"natural gas","kbtus"
"224","BEM OTHER","CaNCCoJBK",3.81,4.5,"natural gas","kbtus"
"225","BES OTHER","CaNCCoJBK",3.81,38.6,"natural gas","kbtus"
"226","PEL OTHER","CaNCCoJBK",3.81,25.8,"natural gas","kbtus"
"227","PEM OTHER","CaNCCoJBK",3.81,9.7,"natural gas","kbtus"
"228","PES OTHER","CaNCCoJBK",3.81,1.8,"natural gas","kbtus"
"229","ACRU","GulfCoCHS",3.81,2.9,"co2 avoided","kgs"
"230","BUCA","GulfCoCHS",3.81,5.3,"co2 avoided","kgs"
"231","CAIL","GulfCoCHS",3.81,1.1,"co2 avoided","kgs"
"232","CELA","GulfCoCHS",3.81,0.9,"co2 avoided","kgs"
"233","COFL","GulfCoCHS",3.81,2.1,"co2 avoided","kgs"
"234","GLTR","GulfCoCHS",3.81,3.5,"co2 avoided","kgs"
"235","ILOP","GulfCoCHS",3.81,0.6,"co2 avoided","kgs"
"236","JUVI","GulfCoCHS",3.81,0.8,"co2 avoided","kgs"
"237","LAIN","GulfCoCHS",3.81,2,"co2 avoided","kgs"
"238","LIST","GulfCoCHS",3.81,0.8,"co2 avoided","kgs"
"239","MAGR","GulfCoCHS",3.81,0.6,"co2 avoided","kgs"
"240","PHCA","GulfCoCHS",3.81,3.7,"co2 avoided","kgs"
"241","PICO5","GulfCoCHS",3.81,1,"co2 avoided","kgs"
"242","PITA","GulfCoCHS",3.81,0.7,"co2 avoided","kgs"
"243","PLOC","GulfCoCHS",3.81,2.3,"co2 avoided","kgs"
"244","PYCA","GulfCoCHS",3.81,0.5,"co2 avoided","kgs"
"245","QULA2","GulfCoCHS",3.81,0.9,"co2 avoided","kgs"
"246","QUNI","GulfCoCHS",3.81,2.6,"co2 avoided","kgs"
"247","QUPH","GulfCoCHS",3.81,1,"co2 avoided","kgs"
"248","QUVI","GulfCoCHS",3.81,1.1,"co2 avoided","kgs"
"249","SAPA","GulfCoCHS",3.81,1.5,"co2 avoided","kgs"
"250","BDL OTHER","GulfCoCHS",3.81,1.1,"co2 avoided","kgs"
"251","BDM OTHER","GulfCoCHS",3.81,0.5,"co2 avoided","kgs"
"252","BDS OTHER","GulfCoCHS",3.81,2,"co2 avoided","kgs"
"253","CEL OTHER","GulfCoCHS",3.81,0.7,"co2 avoided","kgs"
"254","CEM OTHER","GulfCoCHS",3.81,0.8,"co2 avoided","kgs"
"255","CES OTHER","GulfCoCHS",3.81,1,"co2 avoided","kgs"
"256","BEL OTHER","GulfCoCHS",3.81,1.1,"co2 avoided","kgs"
"257","BEM OTHER","GulfCoCHS",3.81,0.6,"co2 avoided","kgs"
"258","BES OTHER","GulfCoCHS",3.81,0.6,"co2 avoided","kgs"
"259","PEL OTHER","GulfCoCHS",3.81,3.7,"co2 avoided","kgs"
"260","PEM OTHER","GulfCoCHS",3.81,1.5,"co2 avoided","kgs"
"261","PES OTHER","GulfCoCHS",3.81,5.3,"co2 avoided","kgs"
"262","ACRU","GulfCoCHS",3.81,2.2,"co2 sequestered","kgs"
"263","BUCA","GulfCoCHS",3.81,3.4,"co2 sequestered","kgs"
"264","CAIL","GulfCoCHS",3.81,1.9,"co2 sequestered","kgs"
"265","CELA","GulfCoCHS",3.81,0.5,"co2 sequestered","kgs"
"266","COFL","GulfCoCHS",3.81,4,"co2 sequestered","kgs"
"267","GLTR","GulfCoCHS",3.81,1.8,"co2 sequestered","kgs"
"268","ILOP","GulfCoCHS",3.81,3.7,"co2 sequestered","kgs"
"269","JUVI","GulfCoCHS",3.81,0.7,"co2 sequestered","kgs"
"270","LAIN","GulfCoCHS",3.81,1.1,"co2 sequestered","kgs"
"271","LIST","GulfCoCHS",3.81,0.6,"co2 sequestered","kgs"
"272","MAGR","GulfCoCHS",3.81,0.4,"co2 sequestered","kgs"
"273","PHCA","GulfCoCHS",3.81,7.9,"co2 sequestered","kgs"
"274","PICO5","GulfCoCHS",3.81,0.4,"co2 sequestered","kgs"
"275","PITA","GulfCoCHS",3.81,0.7,"co2 sequestered","kgs"
"276","PLOC","GulfCoCHS",3.81,1.1,"co2 sequestered","kgs"
"277","PYCA","GulfCoCHS",3.81,4.2,"co2 sequestered","kgs"
"278","QULA2","GulfCoCHS",3.81,1.3,"co2 sequestered","kgs"
"279","QUNI","GulfCoCHS",3.81,4.2,"co2 sequestered","kgs"
"280","QUPH","GulfCoCHS",3.81,3.9,"co2 sequestered","kgs"
"281","QUVI","GulfCoCHS",3.81,0.9,"co2 sequestered","kgs"
"282","SAPA","GulfCoCHS",3.81,4.9,"co2 sequestered","kgs"
"283","BDL OTHER","GulfCoCHS",3.81,1.9,"co2 sequestered","kgs"
"284","BDM OTHER","GulfCoCHS",3.81,4.2,"co2 sequestered","kgs"
"285","BDS OTHER","GulfCoCHS",3.81,1.1,"co2 sequestered","kgs"
"286","CEL OTHER","GulfCoCHS",3.81,0.7,"co2 sequestered","kgs"
"287","CEM OTHER","GulfCoCHS",3.81,0.7,"co2 sequestered","kgs"
"288","CES OTHER","GulfCoCHS",3.81,0.4,"co2 sequestered","kgs"
"289","BEL OTHER","GulfCoCHS",3.81,0.9,"co2 sequestered","kgs"
"290","BEM OTHER","GulfCoCHS",3.81,0.4,"co2 sequestered","kgs"
"291","BES OTHER","GulfCoCHS",3.81,3.7,"co2 sequestered","kgs"
"292","PEL OTHER","GulfCoCHS",3.81,7.9,"co2 sequestered","kgs"
"293","PEM OTHER","GulfCoCHS",3.81,4.9,"co2 sequestered","kgs"
"294","PES OTHER","GulfCoCHS",3.81,3.4,"co2 sequestered","kgs"
"295","ACRU","GulfCoCHS",3.81,7.6,"co2 storage","kgs"
"296","BUCA","GulfCoCHS",3.81,30.5,"co2 storage","kgs"
"297","CAIL","GulfCoCHS",3.81,3.9,"co2 storage","kgs"
"298","CELA","GulfCoCHS",3.81,1.1,"co2 storage","kgs"
"299","COFL","GulfCoCHS",3.81,6.3,"co2 storage","kgs"
"300","GLTR","GulfCoCHS",3.81,6.3,"co2 storage","kgs"
"301","ILOP","GulfCoCHS",3.81,6.3,"co2 storage","kgs"
"302","JUVI","GulfCoCHS",3.81,1.5,"co2 storage","kgs"
"303","LAIN","GulfCoCHS",3.81,1.6,"co2 storage","kgs"
"304","LIST","GulfCoCHS",3.81,1.7,"co2 storage","kgs"
"305","MAGR","GulfCoCHS",3.81,1.2,"co2 storage","kgs"
"306","PHCA","GulfCoCHS",3.81,43.9,"co2 storage","kgs"
"307","PICO5","GulfCoCHS",3.81,1.6,"co2 storage","kgs"
"308","PITA","GulfCoCHS",3.81,1.5,"co2 storage","kgs"
"309","PLOC","GulfCoCHS",3.81,1.8,"co2 storage","kgs"
"310","PYCA","GulfCoCHS",3.81,6.3,"co2 storage","kgs"
"311","QULA2","GulfCoCHS",3.81,5.7,"co2 storage","kgs"
"312","QUNI","GulfCoCHS",3.81,5.7,"co2 storage","kgs"
"313","QUPH","GulfCoCHS",3.81,5.7,"co2 storage","kgs"
"314","QUVI","GulfCoCHS",3.81,5.7,"co2 storage","kgs"
"315","SAPA","GulfCoCHS",3.81,32.7,"co2 storage","kgs"
"316","BDL OTHER","GulfCoCHS",3.81,3.9,"co2 storage","kgs"
"317","BDM OTHER","GulfCoCHS",3.81,6.3,"co2 storage","kgs"
"318","BDS OTHER","GulfCoCHS",3.81,1.6,"co2 storage","kgs"
"319","CEL OTHER","GulfCoCHS",3.81,1.5,"co2 storage","kgs"
"320","CEM OTHER","GulfCoCHS",3.81,1.5,"co2 storage","kgs"
"321","CES OTHER","GulfCoCHS",3.81,1.6,"co2 storage","kgs"
"322","BEL OTHER","GulfCoCHS",3.81,5.7,"co2 storage","kgs"
"323","BEM OTHER","GulfCoCHS",3.81,1.2,"co2 storage","kgs"
"324","BES OTHER","GulfCoCHS",3.81,6.3,"co2 storage","kgs"
"325","PEL OTHER","GulfCoCHS",3.81,43.9,"co2 storage","kgs"
"326","PEM OTHER","GulfCoCHS",3.81,32.7,"co2 storage","kgs"
"327","PES OTHER","GulfCoCHS",3.81,30.5,"co2 storage","kgs"
"328","ACRU","GulfCoCHS",3.81,4.7,"electricity","kwh"
"329","BUCA","GulfCoCHS",3.81,8.6,"electricity","kwh"
"330","CAIL","GulfCoCHS",3.81,1.8,"electricity","kwh"
"331","CELA","GulfCoCHS",3.81,1.5,"electricity","kwh"
"332","COFL","GulfCoCHS",3.81,3.3,"electricity","kwh"
"333","GLTR","GulfCoCHS",3.81,5.7,"electricity","kwh"
"334","ILOP","GulfCoCHS",3.81,1,"electricity","kwh"
"335","JUVI","GulfCoCHS",3.81,1.3,"electricity","kwh"
"336","LAIN","GulfCoCHS",3.81,3.3,"electricity","kwh"
"337","LIST","GulfCoCHS",3.81,1.3,"electricity","kwh"
"338","MAGR","GulfCoCHS",3.81,0.9,"electricity","kwh"
"339","PHCA","GulfCoCHS",3.81,6,"electricity","kwh"
"340","PICO5","GulfCoCHS",3.81,1.6,"electricity","kwh"
"341","PITA","GulfCoCHS",3.81,1.1,"electricity","kwh"
"342","PLOC","GulfCoCHS",3.81,3.7,"electricity","kwh"
"343","PYCA","GulfCoCHS",3.81,0.7,"electricity","kwh"
"344","QULA2","GulfCoCHS",3.81,1.5,"electricity","kwh"
"345","QUNI","GulfCoCHS",3.81,4.2,"electricity","kwh"
"346","QUPH","GulfCoCHS",3.81,1.6,"electricity","kwh"
"347","QUVI","GulfCoCHS",3.81,1.7,"electricity","kwh"
"348","SAPA","GulfCoCHS",3.81,2.5,"electricity","kwh"
"349","BDL OTHER","GulfCoCHS",3.81,1.8,"electricity","kwh"
"350","BDM OTHER","GulfCoCHS",3.81,0.7,"electricity","kwh"
"351","BDS OTHER","GulfCoCHS",3.81,3.3,"electricity","kwh"
"352","CEL OTHER","GulfCoCHS",3.81,1.1,"electricity","kwh"
"353","CEM OTHER","GulfCoCHS",3.81,1.3,"electricity","kwh"
"354","CES OTHER","GulfCoCHS",3.81,1.6,"electricity","kwh"
"355","BEL OTHER","GulfCoCHS",3.81,1.7,"electricity","kwh"
"356","BEM OTHER","GulfCoCHS",3.81,0.9,"electricity","kwh"
"357","BES OTHER","GulfCoCHS",3.81,1,"electricity","kwh"
"358","PEL OTHER","GulfCoCHS",3.81,6,"electricity","kwh"
"359","PEM OTHER","GulfCoCHS",3.81,2.5,"electricity","kwh"
"360","PES OTHER","GulfCoCHS",3.81,8.6,"electricity","kwh"
"361","ACRU","GulfCoCHS",3.81,0.11,"hydro interception","m^3"
"362","BUCA","GulfCoCHS",3.81,1.12,"hydro interception","m^3"
